Recursor: Lean.Meta.CheckTactic.CheckGoalType.rec | is_sort_poly: true
Recursor: FloatArray.rec | is_sort_poly: true
Recursor: LawfulFunctor.rec | is_sort_poly: true
Recursor: LawfulApplicative.rec | is_sort_poly: true
Recursor: LawfulMonad.rec | is_sort_poly: true
Recursor: Std.Internal.Parsec.Error.rec | is_sort_poly: true
Recursor: Std.DHashMap.Internal.AssocList.rec | is_sort_poly: true
Recursor: Std.Internal.Parsec.ParseResult.rec | is_sort_poly: true
Recursor: Std.Internal.Parsec.Input.rec | is_sort_poly: true
Recursor: OfScientific.rec | is_sort_poly: true
Recursor: Std.Internal.List.DistinctKeys.rec | is_sort_poly: true
Recursor: Std.DHashMap.Raw.rec | is_sort_poly: true
Recursor: PartialEquivBEq.rec | is_sort_poly: true
Recursor: EquivBEq.rec | is_sort_poly: true
Recursor: Std.IterM.rec | is_sort_poly: true
Recursor: Lean.RArray.rec | is_sort_poly: true
Recursor: Std.Iter.rec | is_sort_poly: true
Recursor: Std.Iterators.PostconditionT.rec | is_sort_poly: true
Recursor: Lean.Data.AC.Expr.rec | is_sort_poly: true
Recursor: Std.IterStep.rec | is_sort_poly: true
Recursor: Lean.Data.AC.Variable.rec | is_sort_poly: true
Recursor: Lean.Data.AC.Context.rec | is_sort_poly: true
Recursor: Lean.Data.AC.ContextInformation.rec | is_sort_poly: true
Recursor: Lean.Data.AC.EvalInformation.rec | is_sort_poly: true
Recursor: Std.Iterator.rec | is_sort_poly: true
Recursor: Std.Tactic.BVDecide.LRAT.Internal.Entails.rec | is_sort_poly: true
Recursor: Std.IterM.IsPlausibleIndirectOutput.rec | is_sort_poly: false
Recursor: Std.IterM.IsPlausibleIndirectOutput.below.rec | is_sort_poly: false
Recursor: Std.IterM.IsPlausibleIndirectSuccessorOf.rec | is_sort_poly: false
Recursor: Std.IterM.IsPlausibleIndirectSuccessorOf.below.rec | is_sort_poly: false
Recursor: Std.Iter.IsPlausibleIndirectOutput.rec | is_sort_poly: false
Recursor: Std.Iter.IsPlausibleIndirectOutput.below.rec | is_sort_poly: false
Recursor: Std.Iter.IsPlausibleIndirectSuccessorOf.rec | is_sort_poly: false
Recursor: Std.Iter.IsPlausibleIndirectSuccessorOf.below.rec | is_sort_poly: false
Recursor: Sum.LiftRel.rec | is_sort_poly: false
Recursor: Std.Iterators.Finite.rec | is_sort_poly: true
Recursor: Sum.Lex.rec | is_sort_poly: false
Recursor: Std.IterM.TerminationMeasures.Finite.rec | is_sort_poly: true
Recursor: Std.Iterators.Productive.rec | is_sort_poly: true
Recursor: Std.IterM.TerminationMeasures.Productive.rec | is_sort_poly: true
Recursor: Std.LawfulDeterministicIterator.rec | is_sort_poly: true
Recursor: Std.Iterators.FinitenessRelation.rec | is_sort_poly: true
Recursor: Std.Iterators.ProductivenessRelation.rec | is_sort_poly: true
Recursor: Ordering.rec | is_sort_poly: true
Recursor: ST.Out.rec | is_sort_poly: true
Recursor: EST.Out.rec | is_sort_poly: true
Recursor: STWorld.rec | is_sort_poly: true
Recursor: ST.Ref.rec | is_sort_poly: true
Recursor: Ord.rec | is_sort_poly: true
Recursor: Std.ToIterator.rec | is_sort_poly: true
